date;cell number;cczb or ivb file name form which I have took the data;bridge error if applied;firs ISI value;mean ISI value;mean-firstISI;all spikes mean spike width;first spike width mean;first -all spikes width;all spikes fAHP 5/2 s mean;all spikes MEDIAN PHP;fAHP-medianPHP;all spike threshold value-PHP;all spikes mean spike thtrshold value;spike threshold  -fAHP;firts fAHP voltage value;mean fAHP;change;bursts presence;if more spikes at the beggining of each step ;by eye type;by eye type2
05.06.2018;6;507ivb;0;12;46,8;34,8;0,98;0,89;-0,09;-46,88;-65,83;18,95;11,24;-58,36;69,6;-57,68;-46,88;-10,8;1;1;BUR;RS
07.06.2018;3;003ivb;0,43;115;62,88;-52,12;0,37;0,35;-0,02;-56,3;-78,6;22,3;13,66;-61,97;75,63;-55,32;-56,3;0,98;1;0;BUR;RS
07.06.2018;4;753ivb;8,9;5;31,3;26,3;0,794;0,594;-0,2;-51,38;-62,48;11,1;6,66;-57,96;64,62;-61,63;-51,38;-10,25;1;1;BUR;RS
08.06.2018;4;206ivb;-8,4;8;33,5;25,5;1,138;1,019;-0,119;-30,56;-50,71;20,15;12,79;-40,42;53,21;-49,07;-30,56;-18,51;1;1;BUR;RS
09.06.2018;1;503ivb;0,58;8;36,5;28,5;0,62;0,78;0,16;-45,97;-60,9;14,93;7,12;-55,58;62,7;-64,88;-45,97;-18,91;0;1;RS;RS
12.06.2018;1;753ivb;44;60;94;34;0,44;0,46;0,02;-46,94;-60,55;13,61;19,95;-49,77;69,72;-49,54;-46,94;-2,6;0;1;RS;RS
12.06.2018;2;951ivb;-0,91;7;7,5;0,5;0,152;0,15;-0,002;-58,12;-62,5;4,38;8,2;-54,78;62,98;-62,43;-58,12;-4,31;0;0;FS;FS
13.06.2018;1;810ivb;-1,1;8;36;28;1,69;1,18;-0,51;-27,97;-51;23,03;10,13;-43,41;53,54;-50,11;-27,97;-22,14;0;1;RS;RS
13.06.2018;6;415ivb;;8;33,05;25,05;0,916;0,758;-0,158;-49,52;-65,08;15,56;9,17;-55,9;65,07;-60,49;-49,52;-10,97;0;1;RS;RS
14.06.2018;1;429ivb;-1,9;8;51,45;43,45;0,65;0,87;0,22;-36,54;-56,63;20,09;7,37;-51,93;59,3;-54,23;-36,54;-17,69;0;1;RS;RS
14.06.2018;2;131ivb;0;3;35,7;32,7;1;0,82;-0,18;-49,18;-58,46;9,28;27,31;-57,32;84,63;-56,21;-49,18;-7,03;0;1;RS;RS
14.06.2018;4;754ivb;3,6;36;66,3;30,3;0,7;0,514;-0,186;-33,09;-55,87;22,78;16,83;-43,63;60,46;-43,42;-33,09;-10,33;0;1;RS;RS
15.06.2018;3;403ivb;-1,1;5;60,65;55,65;0,67;0,59;-0,08;-55,9;-61,14;5,24;7,9;-55,81;63,71;-62,6;-55,9;-6,7;1;0;BUR;RS
15.06.2018;5;2§5ivb;8,2;7;34,26;27,26;0,74;1;0,26;-36,17;-55,54;19,37;8,49;-48,15;56,64;-52,76;-36,17;-16,59;0;1;RS;RS
15.06.2018;7;844ivb;-1,9;11;11,33;0,33;0,15;0,15;0;-69,45;-70;0,55;12,94;-57,2;70,14;-70;-69,45;-0,55;0;0;FS;FS
18.06.2018;5;342ivb;0;7;30,22;23,22;0,87;0,89;0,02;-39,36;-55,37;16,01;7,59;-50,63;58,22;-56,61;-39,36;-17,25;0;1;RS;RS
19.06.2018;1;119ivb;2,4;4;24,5;20,5;0,83;0,7;-0,13;-55,63;-62,4;6,77;5,52;-58,52;64,04;-68,54;-55,63;-12,91;0;1;RS;RS
19.06.2018;3;202ivb;0;8;34,5;26,5;0,94;0;-0,94;-46,7;-56,68;9,98;8,16;-50,77;58,93;-58,42;-46,7;-11,72;0;1;RS;RS
19.06.2018;5;326ivb;10;5;30,36;25,36;1,2;0,79;-0,41;-41;-57,65;16,65;8,83;-51,29;60,12;-58,49;-41;-17,49;0;1;RS;RS
20.06.2018;5;223ivb;0;4;41,8;37,8;1,14;0,83;-0,31;-37,4;-52,44;15,04;9,34;-46,84;56,18;-48,56;-37,4;-11,16;1;1;BUR;RS
21.06.2018;2;253ivb;0;7;36,5;29,5;1,25;0,8;-0,45;-47,62;-59,17;11,55;8,24;-53,46;61,7;-57,14;-47,62;-9,52;1;1;RS;RS
21.06.2018;7;131ivb;0;28;100;72;0,98;0,89;-0,09;-42,05;-58,69;16,64;9,88;-54,38;64,26;-51,28;-42,05;-9,23;1;0;BUR;RS
22.06.2018;5;100ivb;3,6;5;35,5;30,5;0,8;0,66;-0,14;-60,36;-71,25;10,89;5,38;-66,65;72,03;-72,78;-60,36;-12,42;0;1;RS;RS
22.06.2018;6;511ivb;0;6;28,5;22,5;0,93;0,8;-0,13;-47,11;-59,48;12,37;6,41;-54,87;61,28;-59,89;-47,11;-12,78;0;1;RS;RS
23.06.2018;2;416ivb;0;20;48;28;1,2;1;-0,2;-39,91;-53,73;-13,82;9,99;-46,29;56,28;-55,06;-39,91;-15,15;0;1;RS;RS
26.06.2018;6;233ivb;6,4;24;38,18;14,18;0,75;0,67;-0,08;-63,46;-68,37;-4,91;10;-60,62;70,62;-62,78;-63,46;0,68;0;1;RS;RS
27.06.2018;1;027ivb;3;5;28,4;23,4;0,62;0,84;0,22;-37,81;-55,64;-17,83;7,91;-49,15;57,06;-56,45;-37,81;-18,64;0;1;RS;RS
17.07.2018;3;144ivb;1,8;6;35,22;29,22;0,69;0,78;0,09;-49,04;-64,72;-15,68;10,45;-59,15;69,6;-63,2;-49,04;-14,16;0;1;RS;RS
24.07.2018;1;510ivb;0,08;6;33,7;27,7;0,97;0,97;0;-36,14;-53,07;-16,93;9,63;-46,59;56,22;-51,01;-36,14;-14,87;0;1;RS;RS
